1. English Sentence/Phrase,1. Twi Translation
I have to be home for dinner.,ɛsɛ sɛ mekɔ fie kɔdi anwummere aduane
War affects us all.,Ɔsa haw y3n nyinaa
Abena lost most of his belongings in the fire.,Abena hweree n'ahodeɛ bebree wɔ gya no mu
You're one of the people in this picture.,Wo yɛ ɔmo a wɔwɔ  mfoni yi mu baako
They had to start from scratch.,Na ɛwɔ sɛ wɔsan hyɛ ase firi mfitiase
They had to start from scratch.,Na ɛsɛ sɛ wɔhyɛ ase firi mfitiase
We overlooked Abena's name when we sent out invitations.,Yɛani paa Abena so mmere a na yɛrekyɛkyɛ nsatoɔ no
Abena promised to come home early tonight.,Abena hyɛɛ me bɔ sɛ ɔbɛba fie ntɛm anwumere yi
Did you want to see me?,Na wopɛ sɛ wohunu me anaa?
Don't say it in a roundabout way.,"Nnante nnante asɛm no ho, ka no pɛpɛɛpɛ"
Better a live coward than a dead hero.,Ͻkwatweakwa/ohufo a ɔwɔ nkwa ho hia sen ɔkokorodufo a watɔ
He stood up and took a deep breath.,Ͻsɔre homei
"I have 1,500 herd of cattle.",Mewͻ anantwi apem ahanum
I bet Abena was surprised.,Megyedi sɛ Abena yam hyew no
It's my turn to wash the dishes.,Aduru me so sɛ metwitwi nkukuw no mu
There was blood all over the floor.,Na mogya asane afa fam hɔ nyinaa
I'm here to learn French.,Mewɔ ha sɛ merebesua French
I cannot praise you enough.,Mentumi nnyae wo nsammranebɔ
"First come, first served.",Agoru bɛsɔ a efiri anɔpa
The boy tried to be a man and not cry.,Abaamuwaa  no bɔɔ ne ho mmɔden sɛ ɔrensu
I never give up.,Memma me nsa so dabiara da.
Kwame missed his wife and their children.,Kwame fee ne yere ne ne mma no.
I had rented it the day before.,Na mahae no nnera deda.
Do you want to stop Kwame?,Wopɛ sɛ wotumi ma Kwame gyae nea reyɛ no?
How old is this piano?,Piano senkuo no adi mfie sɛn?
I'm practically already an adult.,Manyini awie ara nen
I'm content with my job.,M'ani gye m'adwuma no ho.
He had to stay in bed.,Na ɛsɛ sɛ ɔka mpa mu.
That's what I thought you said.,Medwen sɛ saa na wokae
Play another song for us.,Bɔ nnwom foforow ma yɛn
What is it called?,Yɛfrɛ no sɛn?
It seems that Kwame might win.,Asɛ Kwame bedi nkunim.
Kwame persuaded Adwoa to help John.,Kwame ne Adwoa kasae ma ɔgye toomu sɛ ɔbɛboa John.
Kwame comes to school by bus and train.,Kwame fa ɛhyɛn ne keteke na ɛba sukuu.
We should be fine.,Yɛn ho bɛyɛ
Kwame and Adwoa were good friends.,Na Kwame ne Adwoa yɛ nnamfo pa ara.
What's it going to take to persuade you?,Deɛn na ɛbɛma woagye ato mu?
Say it in French.,Ka wɔ French kasa mu.
"Kwame, this is my cousin.","Kwame, me nua ni."
They set the time and place of the wedding.,Wɔahyɛ mmere ne faako a wɔbɛgye aware no.
Someone rang the doorbell.,Obi miaa pono no abɛn so
Everyone knew that.,Na obiara nim.
Why do you keep giving him money?,Adɛn na wokɔ so ma no sika?
Kwame's clothes are out of fashion.,Kwame ntaade no atwamu.
It all makes sense now.,Afei na mate ase yiye.
They got married on Christmas Eve.,Wɔwaree anwumere a edi bronya da anim no.
I thought you'd stopped dating Kwame.,Na medwene sɛ wo ne Kwame nni hɔ biom.
She has a habit of biting her nails.,Ɛyaa ɔkeka ne mmɔwerew.
Kwame would never hurt you.,Kwame remma wunni yaw da.
The baby started to cry.,Abofra no hyɛɛ ase sui.
Kwame was lying on the bed.,Kwame daa mpa no so.
Go with these men.,Ɛne mmerante yi nkɔ
A fish leaped out of the water.,Mpataa bi yii ne ti firii nsu no mu.
"I spent 3,000 yen on a new CD.",Mebɔɔ ka apem aha miɛnsa wɔ CD yi ho.
Kwame is coming over this evening.,Kwame bɛba ha anwumere yi.
Did you ever hear the like of it?,Wate bi da?
Adwoa and Pokua value their privacy.,Adwoa ne Pokua pɛ wɔn tirimuka
I remember seeing him once.,Mekae sɛ mɛhunu no da
We came to the conclusion that we should support the movement.,Yɛbɛtee ase sɛ ɛsɛ sɛ yɛboa dwumadie no.
There are large houses along the street.,Mfie akɛse wɔ kwan no ho
He has a Picasso.,Ͻwɔ Picasso
Pokua is still looking for Adwoa.,Pokua gu so rehwehwɛ Abena
Pokua looked toward Adwoa.,Pokua hwɛɛ Abena anim
She lives in Yokohama.,Ͻte Yokohama
Choose between these two.,Yi nneɛma abien yi mu baako
That isn't a good reason.,Botae no ntɔ asom.
Pokua must consider carefully whether he really wants a divorce or not.,Ɛsɛ sɛ Pokua dwene awaregyae no ho yiye
We want our money back.,Fa yɛn sika ma yɛn biom.
Is everything you own in that chest?,Wo nneɛma nyinaa wɔ saa adaka no mu?
"In the future, try to get to the office on time.","Efiri nnɛ rekɔ, ɛyaa bɔ mmɔden sɛ wobɛba adwuma ntɛm"
Pokua didn't mean to offend Adwoa.,Na ɛnyɛ Pokua adwene sɛ ɔbɛfom Adwoa
I'm afraid it's not going to be that easy.,Mennyenni sɛ ɛbɛyɛ mmerɛ saa.
This knife is dull.,Sekan n'ano nyɛ nam.
"May I have the check, please?",Mepa wo kyɛw metumi anya me bo
Pokua did it very carefully.,Pokua too ne boase yiye na ɔyɛe
Pokua is going to survive.,Pokuaa ho bɛtɔ no/befiri mu
Pokua is getting married Pokuaorrow.,Pokuaa reware kyena
Yaw said he was too tired to dance.,Yaw kaa sɛ wabrɛ dodo nti ɔrentumi nsa
Yaw is disturbing Adwoa.,Yaw reha Adwoa
Yaw is an adult.,Yaw yɛ panyin
That's quite a problem.,Ɛyɛ ɔhaw kakra
I've told you not to call me Yaw.,Maka makyerɛ wo sɛ mfrɛ me Yaw
I don't expect you to reply.,Mannwene sɛ wobɛma me mmuae
Where's your key?,Wo safoa wɔ he?
We stayed at a cheap hotel.,Yɛtraa ahɔhodan bi a ne bo nyɛ den mu.
Could you bring me a blanket?,Wobetumi abrɛ me kuntu?
Yaw can barely breathe.,Yaw home nsisi so yiye
I want those back when you're done.,Wowie a fabrɛ me
Yaw is merely stating the obvious.,Yaw reka asem no sɛnea ɛte pɛpɛɛpɛ/ada adi
I don't know what happened to Yaw.,Deɛn na ɛyɛɛ/ɛtoo Yaw?
We went to the museum.,Yɛkɔɔ tete nneɛma akorae hɔ.
Do you want to look into it?,Wopɛ sɛ wohwehwɛ asɛm no mu ?
I'm not taking any chances.,Mɛyɛ birbiara/ Memma m'ani mpa biribiara a ehia so.
Tell Yaw to wait a moment.,Ka kyerɛ Yaw sɛ ɔntwɛn
You can't do this.,Wontumi nyɛ sei/yei
I'm being fired because I've been late to work a lot.,Wɔreyi m'adi  firi sɛ na mentae mma adwuma ntɛm
I think what you need now is to eat something.,Medwene sɛ nea ɛsɛ sɛ woyɛ  seesei nesɛ wudi biribi
She died at the age of 54.,Owui no na wadi mfie aduonum nnan
We can handle that.,Yebetumi ayɛ
My head still hurts.,Meti gu so yɛ me yaw
I'm in the same boat.,Saa haw no bi ara na mewɔ mu/ Saa asɛm no bi ara na m'ani tua
Yaw showed her the letter from Santa Claus.,Yaw de krataa a efi Santa Claus no kyerɛɛ me
We're pretty proud of ourselves.,Yɛbɔ yɛn ho sonkahyire
It was pure chaos.,Na ɛyɛ basabasayɛ nko ara
He is known to all the people in the town.,Obiara nim no wɔ kurom hɔ
I didn't ask Yaw to go there.,Manka ankyerɛ Yaw sɛ ɔnkɔ hɔ
Yaw is an evil man.,Yaw yɛ nipa bɔne ni/ Yaw tirim wɔ sum.
Jealousy was the motive for the murder.,Anibere ne botae a na ɛtaa okum n'akyi.
The plants must have died because no one watered them.,Ɛbɛyɛ sɛ afifide no wuwui efisɛ obiara amma so nsu.
Yaw doesn't even remember what happened last night.,Yaw nkae nea esii nnera anadwo mpo
I'm sorry to have kept you waiting so long.,Fa kye me sɛ mama wakyɛre saa.
This coat fits you.,Ataade yi kɔ wo
Yaw is clueless.,Yaw nnim hwee
He was listening to the music in his room.,Na ɔretie nnwom wɔ ne dan mu hɔ
Please tell me where the bus stop is.,Mepa wo kyɛw kyerɛ me baabi a wɔfa kai no
Here is the book you are looking for.,Nwoma a na worehwehwɛ no nie
"I didn't want to go, but I needed to.","Na mempɛ sɛ mɛkɔ, nanso na ɛsɛ sɛ metumi kɔ"
There is no furniture left in the room.,Akongua biara nni dan no mu biom...
Yaw will be back tomorrow.,Yaw bɛba kyena
These books are worth reading at least once.,"Anyɛ yiye koraa no, ɛfata sɛ yɛkenkan nhoma ahorow yi pɛnkoro."
I'll go out after having dinner.,"Midi anwumere aduane wie a, mepue."
How long's Yaw been sick?,Mmere sɛn ni na Yaw ayare?
Open your book to page 59.,Bue wo nwoma no kɔ kratafa a ɛtɔ so aduonum nkron.
I'm sorry I'm late.,Fakyɛ me sɛ makyɛre
I'd like to know your opinion.,Mepɛ sɛ mihunu w'adwenkyerɛ
That's enough for today. I'm tired.,"Nea yɛbɛyɛ nnɛ ara no no, mabrɛ"
Yaw is well known as a singer.,Wɔnim Yaw yiye sɛ nnwomtoni
What Yaw said is right.,Nea Yaw kae no yɛ ampa
Yaw has perfect teeth.,Yaw se yɛ fɛw
My grandchildren attend this school.,Me nananom ba sukuu wɔ ha.
I always have eggs for breakfast.,Midi nkosua anɔpa biara
I doubt Yaw is really a doctor.,Mennye nni sɛ Yaw yɛ dɔketa
I hate my eyebrows.,Mikyi m'ani akyi nwii
Yaw recorded it.,Yaw kyerɛwee
It's too early to leave.,Mɛnkɔ mmeretiawa yi mu
Yaw earns three times more than me.,Yaw akatua yɛ mede mmɔho mmiensa
I don't like traveling by air.,Mempɛ wiemhyɛn mu akwantu
"There was something I needed to get at the supermarket, but I forgot to pick it up.",Na ɛsɛ sɛ metɔ ade/biribi wɔ sotɔɔ no mu nanso mewerefiie
I wonder why she is so worried.,Misusuw nea enti a ɔreteetee saa no ho.
I am of the opinion that necessity is the mother of invention.,M'adwenkyerɛ ne sɛ ohia ma adwendwen
My bag is too old. I must buy a new one.,"Mebɔtɔ no akyɛre dodo, ɛsɛ sɛ metɔ foforow"
Who asked you?,Hwan na obisaa wo?
Yaw lay awake almost all night thinking about Adwoa.,Yaw dwenee Adwoa ho anadwo no nyinaa a wanna
You're just wasting your time.,Woresɛe wommere
